FID,COUNTRY,STATE_NAME,STATE_CODE,DIST_NAME,DIST_CODE,SUB_DIST_N,SUB_DIST_Code
0,India,Bihar,10,Pashchim Champaran,203,Chanpatia,1025
1,India,Bihar,10,Purba Champaran,204,Adapur,1032
2,India,Bihar,10,Sheohar,205,Tariani Chowk,1062
3,India,Bihar,10,Sitamarhi,206,Bathnaha,1069
4,India,Bihar,10,Madhubani,207,Madhepur,1100
5,India,Bihar,10,Supaul,208,Pipra,1110
6,India,Bihar,10,Araria,209,Araria,1116
7,India,Bihar,10,Kishanganj,210,Kochadhamin,1126
8,India,Bihar,10,Purnia,211,Amour,1138
9,India,Bihar,10,Katihar,212,Kadwa,1145
10,India,Bihar,10,Madhepura,213,Madhepura,1161
